,County,annual_ghg_emissions,annual_operating_cost,total_annual_cost,annual_fuel_use,total_vehicle_count,vehicle_split_bev,vehicle_split_ffv,vehicle_split_sidi,county,state
0,Aitkin_MN,2330480570000.0,380490050.0,7422482300.0,171742756.0,1217268.96,84.6,15.4,0.0,Aitkin,MN
1,Alameda_CA,950097510.0,293448.103,3310280.0,108962.43299999999,476.0,23.1,0.0,76.9,Alameda,CA
2,Alpine_CA,4144050400.0,881119.3500000001,11305466.8,334471.052,1697.0,44.8,0.0,55.2,Alpine,CA
3,Amador_CA,303785344000.0,51318660.8,610417583.0,19722359.3,89172.0006,30.7,6.7,62.7,Amador,CA
4,Anderson_TX,99379312000.0,36533840.5,392125619.0,13458829.63,55340.999500000005,13.4,0.0,86.6,Anderson,TX
5,Andrews_TX,27297652400.0,5434401.9799999995,60624463.0,2014261.78,8682.0,21.0,0.0,79.0,Andrews,TX
6,Angelina_TX,3987981530000.0,254425851.0,5475785280.0,110784290.0,917890.998,95.4,4.6,0.0,Angelina,TX
7,Anoka_MN,32440240000.0,12101791.08,141129414.0,4474888.93,20285.0004,20.6,0.0,79.4,Anoka,MN
8,Aransas_TX,74011428100.0,10831802.95,145860265.0,4318790.03,22322.9997,55.3,6.7,38.1,Aransas,TX
9,Archer_TX,1535652500000.0,405529772.0,4743823410.0,153990839.3,689722.998,28.4,4.3,67.2,Archer,TX
10,Armstrong_TX,45814404942.0,7381414.302999999,81023416.47,2713834.924,11398.999908000002,9.5,0.6,90.0,Armstrong,TX
11,Atascosa_TX,402075511000.0,67536864.8,799628270.0,25020623.8,115509.0,23.1,0.0,76.9,Atascosa,TX
12,Austin_TX,646779880200.0,107306136.1,1154204434.0,39577644.76,160948.9984,4.6,2.6,92.8,Austin,TX
13,Bailey_TX,74941062000.0,14644455.5,150156163.3,5357392.416999999,20805.99986,3.6,0.0,96.4,Bailey,TX
14,Bandera_TX,1378746443000.0,375906690.5,4278033776.0,140792473.1,616616.006,24.2,2.0,73.9,Bandera,TX
