,County,vehicle_pc_BEV,vehicle_pc_FFV,vehicle_pc_SIDI
0,Alameda_CA,83.4,16.6,0.0
1,Alpine_CA,21.8,0.0,78.2
2,Amador_CA,42.9,0.0,57.1
3,Butte_CA,29.3,6.7,64.0
4,Calaveras_CA,12.5,0.0,87.5
5,Colusa_CA,19.7,0.0,80.3
6,Contra Costa_CA,94.4,5.6,0.0
7,Del Norte_CA,19.5,0.0,80.5
8,El Dorado_CA,53.5,6.7,39.8
9,Fresno_CA,27.3,4.3,68.4
10,Glenn_CA,8.8,0.6,90.6
11,Humboldt_CA,22.1,0.0,77.9
12,Imperial_CA,4.3,2.6,93.1
13,Inyo_CA,3.4,0.0,96.6
14,Kern_CA,22.8,2.0,75.3
15,Kings_CA,32.2,0.0,67.8
16,Lake_CA,23.1,0.0,76.9
17,Lassen_CA,3.2,0.0,96.8
18,Los Angeles_CA,63.0,33.8,3.2
19,Madera_CA,30.8,1.4,67.9
20,Marin_CA,80.3,0.0,19.7
21,Mariposa_CA,25.5,0.0,74.5
22,Mendocino_CA,27.4,0.0,72.6
23,Merced_CA,34.4,0.0,65.6
24,Modoc_CA,5.3,0.0,94.7
25,Mono_CA,9.7,0.0,90.3
26,Monterey_CA,42.6,0.0,57.4
27,Napa_CA,63.5,12.6,23.9
28,Nevada_CA,46.3,0.0,53.7
29,Orange_CA,95.7,4.3,0.0
30,Placer_CA,60.2,7.5,32.2
31,Plumas_CA,10.5,0.0,89.5
32,Riverside_CA,35.8,16.8,47.4
33,Sacramento_CA,81.7,18.3,0.0
34,San Benito_CA,15.6,0.0,84.4
35,San Bernardino_CA,9.9,4.3,85.9
36,San Diego_CA,47.7,22.0,30.4
37,San Francisco_CA,98.3,1.7,0.0
38,San Joaquin_CA,58.1,19.7,22.2
39,San Luis Obispo_CA,41.0,7.6,51.4
40,San Mateo_CA,75.2,24.8,0.0
41,Santa Barbara_CA,33.6,3.4,62.9
42,Santa Clara_CA,66.2,17.5,16.3
43,Santa Cruz_CA,69.6,0.0,30.4
44,Shasta_CA,16.3,0.0,83.7
45,Sierra_CA,15.6,0.0,84.4
46,Siskiyou_CA,5.6,0.0,94.4
47,Solano_CA,74.7,25.3,0.0
48,Sonoma_CA,83.2,0.2,16.5
49,Stanislaus_CA,42.7,14.1,43.2
50,Sutter_CA,17.3,0.0,82.7
51,Tehama_CA,8.0,0.0,92.0
52,Trinity_CA,7.2,0.0,92.8
53,Tulare_CA,15.7,2.5,81.8
54,Tuolumne_CA,24.5,0.0,75.5
55,Ventura_CA,49.4,7.0,43.6
56,Yolo_CA,66.3,23.3,10.4
