,County,annual_ghg_emissions,annual_operating_cost,total_annual_cost,annual_fuel_use,total_vehicle_count,vehicle_split_BEV,vehicle_split_FFV,vehicle_split_SIDI,vehicle_pc_BEV,vehicle_pc_FFV,vehicle_pc_SIDI,State
0,Alameda,2330480570000.0,380490050.0,7422482300.0,171742756.0,1217268.96,1030266.1,187002.86,0.0,84.6,15.4,0.0,CA
1,Alpine,3634721800.0000005,1122623.9000000001,12663906.9,416849.98400000005,1820.99997,420.73827,1.1247949e-13,1400.2617,23.1,0.0,76.9,CA
2,Amador,72649087000.0,15446848.2,198195424.0,5863591.0,29750.0,13333.427,0.0,16416.573,44.8,0.0,55.2,CA
3,Butte,436038186000.0,73660222.2,876162678.0,28308482.2,127993.0004,39258.766,8523.5134,80210.721,30.7,6.7,62.7,CA
4,Calaveras,99379312000.0,36533840.5,392125619.0,13458829.63,55340.999500000005,7391.2035,0.0,47949.796,13.4,0.0,86.6,CA
5,Colusa,40606909700.0,8084001.54,90182556.0,2996336.27,12914.9995,2711.4905,0.0,10203.509,21.0,0.0,79.0,CA
6,Contra Costa,3987981530000.0,254425851.0,5475785280.0,110784290.0,917890.998,875621.25,42269.748,0.0,95.4,4.6,0.0,CA
7,Del Norte,32440240000.0,12101791.08,141129414.0,4474888.93,20285.0004,4170.6764,1.334172e-13,16114.324,20.6,0.0,79.4,CA
8,El Dorado,456872946000.0,66864778.3,900396204.0,26659914.1,137800.0001,76171.568,9187.9281,52440.504,55.3,6.7,38.1,CA
9,Fresno,1535652500000.0,405529772.0,4743823410.0,153990839.3,689722.998,196190.72,29860.008,463672.27,28.4,4.3,67.2,CA
10,Glenn,67863517030.0,10933870.067,120017575.07,4019923.01,16885.000454,1598.7284,97.637054,15188.635,9.5,0.6,90.0,CA
11,Humboldt,402075511000.0,67536864.8,799628270.0,25020623.8,115509.0,26678.115,0.0,88830.885,23.1,0.0,76.9,CA
12,Imperial,646779880200.0,107306136.1,1154204434.0,39577644.76,160948.9984,7330.9069,4262.8615,149355.23,4.6,2.6,92.8,CA
13,Inyo,74941062000.0,14644455.5,150156163.3,5357392.416999999,20805.99986,749.12886,0.0,20056.871,3.6,0.0,96.4,CA
14,Kern,1378746443000.0,375906690.5,4278033776.0,140792473.1,616616.006,149048.98,12043.326,455523.7,24.2,2.0,73.9,CA
15,Kings,234752029000.0,54041980.1,647740320.0,20270317.9,95132.0,32261.776,0.0,62870.224,33.9,0.0,66.1,CA
16,Lake CA,221446650000.0,39470544.5,471762842.0,14640308.3,68357.0,16847.077,0.0,51509.923,24.6,0.0,75.4,CA
17,Lassen,25132024500.0,10945698.42,112154542.8,4003864.217,15536.00022,535.78022,0.0,15000.22,3.4,0.0,96.6,CA
18,Los Angeles,18547359580000.0,2936290500.0,47068290200.0,1374494567.0,7391982.000000001,4732749.7,2498008.6,161223.7,64.0,33.8,2.2,CA
19,Madera,277125214900.0,64830875.64,771733548.0,24419136.86,113016.00039999999,36552.295,1554.3994,74909.306,32.3,1.4,66.3,CA
20,Marin,844828506000.0,75927334.0,1347102790.0,30639401.0,218822.00199999998,179335.27,0.0,39486.732,82.0,0.0,18.0,CA
21,Mariposa,44942914000.0,11751290.9,135665302.0,4380037.34,19670.0,5381.901,0.0,14288.099,27.4,0.0,72.6,CA
22,Mendocino,265900858000.0,52653860.2,613709290.0,19656747.5,89279.0,25953.16,0.0,63325.84,29.1,0.0,70.9,CA
23,Merced,446200290000.0,110001200.0,1336137130.0,41354183.8,197104.003,71237.363,0.0,125866.64,36.1,0.0,63.9,CA
24,Modoc,14524657870.0,3401461.018,36549165.2,1245450.682,5104.0,289.7343,0.0,4814.2657,5.7,0.0,94.3,CA
25,Mono,50350431400.0,8010173.51,84716341.5,2944173.04,11887.0002,1224.0152,0.0,10662.985,10.3,0.0,89.7,CA
26,Monterey,1010380000000.0,171339821.0,2191231360.0,65001799.0,328583.0,145630.2,0.0,182952.8,44.3,0.0,55.7,CA
27,Napa,314885946000.0,54410779.0,795959280.0,22817073.4,124366.99999999999,80688.324,15698.897,27979.779,64.9,12.6,22.5,CA
28,Nevada,286525220000.0,36385662.7,479094080.0,13877285.4,72476.0,35262.801,0.0,37213.199,48.7,0.0,51.3,CA
29,Orange CA,10954873470000.0,724519087.0,15232653460.0,313947985.0,2555482.031,2469576.6,85905.431,0.0,96.6,3.4,0.0,CA
30,Placer,772620511000.0,132889147.0,1883214350.0,53884846.6,292264.0,181073.32,22057.043,89133.637,62.0,7.5,30.5,CA
